experience,country,education,languages,frameworks,company_size,salary_usd,num_languages,num_frameworks,salary_usd_before_cap
23,Brazil,Some College,"PHP, Python","Laravel, Spring",201-1000,119888.0,2,2,119888.0
35,USA,Bachelors,"Go, Java","Angular, ASP.NET",1-10,176036.0,2,2,176036.0
0,USA,Bachelors,"C++, Java","ASP.NET, Laravel",1001-5000,88123.0,2,2,88123.0
13,Canada,Some College,"C#, JavaScript","Flask, React",1001-5000,109060.0,2,2,109060.0
28,UK,Bachelors,Swift,"ASP.NET, Express",1-10,125717.0,1,2,125717.0
37,Germany,Unknown,"C++, Ruby","Ruby on Rails, Vue",201-1000,157683.0,2,2,157683.0
25,Japan,Bachelors,"C++, JavaScript",Django,201-1000,108472.0,2,1,108472.0
1,Germany,PhD,"C++, PHP","Flask, Ruby on Rails",5000+,88139.0,2,2,88139.0
30,France,Some College,"C++, Rust","Angular, React",1001-5000,144532.0,2,2,144532.0
38,USA,PhD,"Java, Python","Angular, Ruby on Rails",1001-5000,207888.0,2,2,207888.0
38,Canada,Bachelors,"Java, JavaScript","Angular, Laravel",5000+,179765.0,2,2,179765.0
25,France,Masters,Unknown,"Angular, Spring",1-10,149423.0,1,2,149423.0
40,USA,Bachelors,"C++, PHP","Angular, Express",1001-5000,225495.0,2,2,225495.0
11,India,Masters,"Python, Swift","Angular, Django",51-200,49236.0,2,2,49236.0
20,Japan,Bachelors,"C#, Java","Express, Spring",1001-5000,114780.0,2,2,114780.0
5,USA,Masters,Java,Unknown,1-10,134816.0,1,1,134816.0
20,USA,Masters,"JavaScript, PHP",Unknown,1-10,233603.0,2,1,233603.0
40,USA,Bachelors,"Ruby, Rust","Django, Flask",1001-5000,203073.0,2,2,203073.0
27,USA,Bachelors,"C++, Swift","Django, React",11-50,185509.0,2,2,185509.0
14,USA,High School,C#,"Ruby on Rails, Spring",1001-5000,125089.0,1,2,125089.0
24,Canada,Bachelors,"C++, Rust","Angular, Ruby on Rails",201-1000,149955.0,2,2,149955.0
14,UK,Masters,"PHP, Ruby","ASP.NET, Spring",201-1000,94537.0,2,2,94537.0
16,Australia,Bachelors,"Go, Ruby","Angular, Spring",1001-5000,100695.0,2,2,100695.0
20,Germany,Masters,Unknown,"ASP.NET, Flask",201-1000,113640.0,1,2,113640.0
15,USA,Bachelors,"C#, Rust","React, Vue",51-200,153954.0,2,2,153954.0
15,UK,Bachelors,"Go, Swift","Laravel, React",51-200,123012.0,2,2,123012.0
31,Canada,Masters,"C#, PHP","ASP.NET, Spring",51-200,162797.0,2,2,162797.0
28,USA,PhD,"C++, Ruby","Angular, Spring",201-1000,225957.0,2,2,225957.0
19,Japan,Unknown,"Go, PHP","ASP.NET, Spring",11-50,93439.0,2,2,93439.0
18,Australia,Bachelors,JavaScript,"ASP.NET, Vue",11-50,88334.0,1,2,88334.0
22,USA,Bachelors,"Java, Python","React, Spring",51-200,159698.0,2,2,159698.0
25,USA,Bachelors,"Go, Swift",Angular,11-50,132522.0,2,1,132522.0
31,Canada,Unknown,JavaScript,Spring,1-10,156899.0,1,1,156899.0
24,UK,Bachelors,"Rust, Swift","Flask, Spring",5000+,122236.0,2,2,122236.0
10,UK,High School,"JavaScript, Swift",Unknown,201-1000,87173.0,2,1,87173.0
2,USA,Bachelors,"C++, Swift",Unknown,1-10,92069.0,2,1,92069.0
32,Germany,Bachelors,Unknown,"Django, Laravel",51-200,168319.0,1,2,168319.0
38,India,Bachelors,"Java, Python",Express,1-10,135246.0,2,1,135246.0
26,Singapore,Some College,"JavaScript, Rust","Django, React",5000+,161034.0,2,2,161034.0
9,Canada,Bachelors,"C#, Ruby","Angular, Django",201-1000,92758.0,2,2,92758.0
20,India,Bachelors,"Java, Ruby","Express, Vue",201-1000,40968.0,2,2,40968.0
6,France,Bachelors,"JavaScript, PHP","ASP.NET, Vue",51-200,54493.0,2,2,54493.0
22,UK,Unknown,"Go, JavaScript","Angular, Ruby on Rails",11-50,141443.0,2,2,141443.0
35,Canada,Some College,"Java, Swift","Django, Vue",11-50,183141.0,2,2,183141.0
28,USA,Masters,"C#, Java","Ruby on Rails, Spring",11-50,157862.0,2,2,157862.0
1,USA,Bachelors,Unknown,"Angular, Flask",1001-5000,110581.0,1,2,110581.0
21,Canada,Masters,"Java, Rust","ASP.NET, Django",1-10,137115.0,2,2,137115.0
22,USA,Bachelors,"JavaScript, Ruby","Ruby on Rails, Vue",201-1000,186815.0,2,2,186815.0
30,UK,Masters,Unknown,"Laravel, Ruby on Rails",5000+,167088.0,1,2,167088.0
10,USA,Some College,C#,"Angular, Laravel",11-50,141784.0,1,2,141784.0
23,Brazil,Bachelors,"Go, Python","React, Ruby on Rails",201-1000,100033.0,2,2,100033.0
10,Australia,Masters,"C++, Go","Django, Vue",51-200,73781.0,2,2,73781.0
26,USA,Masters,Unknown,"Angular, React",1001-5000,182153.0,1,2,182153.0
33,UK,Bachelors,"Ruby, Swift","Express, Laravel",5000+,162399.0,2,2,162399.0
27,UK,Bachelors,"Rust, Swift","Angular, Spring",1-10,144280.0,2,2,144280.0
20,USA,Masters,Unknown,Unknown,5000+,255517.0,1,1,255517.0
6,UK,Masters,Ruby,"Angular, Laravel",51-200,91530.0,1,2,91530.0
26,USA,Unknown,"JavaScript, PHP","Express, Spring",1-10,155212.0,2,2,155212.0
33,USA,Bachelors,"Go, Java","Django, Ruby on Rails",201-1000,223471.0,2,2,223471.0
3,Australia,Bachelors,"Go, JavaScript","Laravel, React",51-200,63044.0,2,2,63044.0
31,USA,Bachelors,"PHP, Python","Flask, Spring",201-1000,195398.0,2,2,195398.0
5,USA,Bachelors,"C++, PHP",Unknown,5000+,138776.0,2,1,138776.0
8,Canada,Bachelors,"Java, PHP",Unknown,1001-5000,84606.0,2,1,84606.0
30,Canada,Masters,"C++, Python","Angular, Vue",1001-5000,139020.0,2,2,139020.0
27,India,Bachelors,Unknown,"React, Ruby on Rails",1001-5000,89321.0,1,2,89321.0
28,Germany,Masters,"Java, Rust","Laravel, React",1-10,172123.0,2,2,172123.0
25,USA,Masters,"JavaScript, Ruby",Unknown,201-1000,162947.0,2,1,162947.0
39,UK,Masters,"C++, Ruby","Flask, Laravel",201-1000,163870.0,2,2,163870.0
12,USA,Bachelors,"PHP, Python","Flask, Laravel",11-50,120108.0,2,2,120108.0
20,India,Masters,"Go, Rust","Flask, Laravel",11-50,113535.0,2,2,113535.0
35,UK,Masters,"Python, Swift",React,1001-5000,142775.0,2,1,142775.0
37,Germany,Masters,"C#, JavaScript",Unknown,1001-5000,157914.0,2,1,157914.0
38,USA,Some College,"Go, Java","React, Spring",5000+,220992.0,2,2,220992.0
21,USA,Some College,Unknown,"Angular, React",1-10,167871.0,1,2,167871.0
17,Canada,Bachelors,"C#, Java","ASP.NET, Django",11-50,114899.0,2,2,114899.0
15,USA,Masters,"JavaScript, Ruby","Express, Flask",201-1000,148527.0,2,2,148527.0
36,USA,Bachelors,Unknown,"Angular, Laravel",1001-5000,227642.0,1,2,227642.0
5,USA,Bachelors,"Go, Ruby","ASP.NET, Ruby on Rails",5000+,141206.0,2,2,141206.0
21,USA,Masters,Swift,"Django, Flask",201-1000,155218.0,1,2,155218.0
18,France,Bachelors,Java,"Django, Ruby on Rails",5000+,116902.0,1,2,116902.0
11,Canada,Bachelors,"Python, Swift","Angular, Laravel",201-1000,108660.0,2,2,108660.0
8,India,Masters,"JavaScript, Swift","Express, Vue",1-10,46408.0,2,2,46408.0
18,USA,Bachelors,"Go, PHP","Django, Ruby on Rails",11-50,143563.0,2,2,143563.0
30,Canada,Masters,"PHP, Rust","ASP.NET, Ruby on Rails",201-1000,145124.0,2,2,145124.0
10,USA,Some College,"C++, Swift",Angular,1001-5000,125179.0,2,1,125179.0
26,Canada,Bachelors,"C#, Go","Ruby on Rails, Vue",51-200,154729.0,2,2,154729.0
33,Canada,Some College,"Java, Swift","Spring, Vue",51-200,130331.0,2,2,130331.0
39,Canada,Bachelors,Go,"Angular, Laravel",1001-5000,171142.0,1,2,171142.0
3,France,Bachelors,"C#, C++","Angular, Ruby on Rails",51-200,52467.0,2,2,52467.0
36,France,Masters,"C#, C++","React, Spring",5000+,156068.0,2,2,156068.0
9,Canada,Masters,"Java, PHP",React,5000+,131121.0,2,1,131121.0
7,India,Bachelors,"C#, Python","Angular, Django",201-1000,43147.0,2,2,43147.0
26,UK,Bachelors,"Java, Rust","Laravel, React",11-50,114722.0,2,2,114722.0
5,France,High School,"JavaScript, Python",Django,5000+,78522.0,2,1,78522.0
37,Canada,Bachelors,"Java, PHP","Laravel, Ruby on Rails",51-200,199582.0,2,2,199582.0
17,Japan,Bachelors,"C#, PHP","Angular, React",1001-5000,103867.0,2,2,103867.0
14,Germany,Bachelors,"Java, Rust",Unknown,201-1000,81641.0,2,1,81641.0
2,USA,Bachelors,Unknown,"Flask, Vue",5000+,91168.0,1,2,91168.0
21,USA,Bachelors,"PHP, Ruby","Django, Laravel",5000+,160231.0,2,2,160231.0
1,India,Bachelors,"PHP, Python",Django,1001-5000,16146.0,2,1,16146.0
21,France,Bachelors,"C++, Java","Ruby on Rails, Vue",1001-5000,92108.0,2,2,92108.0
20,Australia,Masters,"Go, Ruby","Django, Express",51-200,120651.0,2,2,120651.0
29,UK,High School,"Ruby, Rust","ASP.NET, Ruby on Rails",11-50,168786.0,2,2,168786.0
36,Germany,Masters,"Python, Swift","Django, Flask",201-1000,174992.0,2,2,174992.0
32,UK,Bachelors,Unknown,"ASP.NET, Express",1-10,141822.0,1,2,141822.0
17,USA,Bachelors,"C#, Java","ASP.NET, Ruby on Rails",51-200,165445.0,2,2,165445.0
39,India,Masters,Java,"Spring, Vue",201-1000,114185.0,1,2,114185.0
29,Australia,PhD,"Python, Rust","Laravel, Ruby on Rails",1-10,148483.0,2,2,148483.0
32,France,Some College,"Java, Rust","Ruby on Rails, Spring",201-1000,171612.0,2,2,171612.0
33,Brazil,Masters,"Python, Swift","Express, Ruby on Rails",5000+,199059.0,2,2,199059.0
37,USA,Bachelors,"C#, Swift","Laravel, React",51-200,205271.0,2,2,205271.0
28,Canada,Masters,"C++, Swift","Angular, Spring",51-200,147020.0,2,2,147020.0
20,Germany,Bachelors,"PHP, Rust","Angular, React",201-1000,120210.0,2,2,120210.0
26,India,High School,"PHP, Swift","ASP.NET, Laravel",51-200,97520.0,2,2,97520.0
32,UK,Bachelors,"C#, C++","Express, Vue",51-200,128572.0,2,2,128572.0
27,USA,Unknown,Rust,"ASP.NET, Flask",201-1000,139839.0,1,2,139839.0
32,USA,PhD,JavaScript,"Express, Laravel",51-200,228701.0,1,2,228701.0
10,UK,Bachelors,"Java, PHP","Django, Laravel",51-200,107894.0,2,2,107894.0
22,USA,Bachelors,"Python, Ruby","Flask, Laravel",1001-5000,126942.0,2,2,126942.0
0,Germany,Masters,"Ruby, Swift","Flask, Spring",1001-5000,266164.0,2,2,1368677.0
15,USA,Bachelors,"PHP, Python","Express, Vue",5000+,120499.0,2,2,120499.0
40,Japan,Masters,"PHP, Swift","Angular, Ruby on Rails",5000+,185143.0,2,2,185143.0
20,Canada,Bachelors,"Go, PHP",Express,5000+,156186.0,2,1,156186.0
10,UK,Unknown,"C++, JavaScript","Express, Vue",1-10,115006.0,2,2,115006.0
3,UK,Bachelors,"Ruby, Rust","React, Ruby on Rails",1-10,72894.0,2,2,72894.0
10,Canada,Masters,"C#, C++",Unknown,51-200,83965.0,2,1,83965.0
20,Germany,Bachelors,"Go, Python",Unknown,1-10,130142.0,2,1,130142.0
23,USA,Bachelors,"PHP, Rust","Laravel, Spring",1001-5000,185981.0,2,2,185981.0
12,USA,Some College,"JavaScript, PHP",Vue,11-50,139122.0,2,1,139122.0
40,Germany,Unknown,"C++, PHP","Ruby on Rails, Vue",51-200,145151.0,2,2,145151.0
31,USA,Masters,"C++, JavaScript","Django, Express",1001-5000,155367.0,2,2,155367.0
11,USA,Bachelors,"Ruby, Swift","ASP.NET, Ruby on Rails",201-1000,107485.0,2,2,107485.0
3,USA,Bachelors,"JavaScript, Ruby",Angular,11-50,79533.0,2,1,79533.0
26,India,Masters,"Python, Swift","Django, Spring",11-50,87548.0,2,2,87548.0
3,USA,Bachelors,"Python, Ruby","Flask, Spring",1001-5000,111102.0,2,2,111102.0
31,USA,Some College,"Java, Swift","ASP.NET, Django",201-1000,216298.0,2,2,216298.0
2,USA,Masters,Unknown,"Flask, React",11-50,104604.0,1,2,104604.0
10,UK,Bachelors,"PHP, Python","Django, Spring",5000+,116664.0,2,2,116664.0
32,France,Unknown,"Java, Ruby",Ruby on Rails,5000+,197477.0,2,1,197477.0
35,Japan,Masters,"Go, PHP","Django, Spring",51-200,147687.0,2,2,147687.0
29,India,Some College,"Java, Python","Django, Vue",1-10,101801.0,2,2,101801.0
9,USA,Bachelors,"C++, Ruby","ASP.NET, React",1001-5000,112086.0,2,2,112086.0
1,Germany,Unknown,"C#, Python","Express, Spring",1001-5000,72059.0,2,2,72059.0
6,USA,Bachelors,"Java, Ruby","Angular, Laravel",201-1000,121289.0,2,2,121289.0
25,USA,Masters,"Python, Swift",Django,11-50,187702.0,2,1,187702.0
17,USA,Bachelors,"Go, Python","Laravel, Ruby on Rails",1-10,145478.0,2,2,145478.0
11,UK,Masters,"PHP, Rust","Laravel, Vue",5000+,97811.0,2,2,97811.0
30,Germany,Bachelors,"C++, Rust","Flask, Spring",51-200,155471.0,2,2,155471.0
31,Germany,Bachelors,"Go, Ruby","Flask, React",1001-5000,131392.0,2,2,131392.0
25,Brazil,Some College,"C++, Java","Angular, Laravel",51-200,127277.0,2,2,127277.0
32,USA,Bachelors,"Java, Rust","Angular, ASP.NET",1001-5000,218142.0,2,2,218142.0
9,India,Bachelors,"Java, Swift","Angular, Laravel",1001-5000,45927.0,2,2,45927.0
20,Germany,High School,"C++, Ruby","Angular, Ruby on Rails",11-50,65175.0,2,2,65175.0
38,India,Bachelors,"Python, Rust","Flask, Spring",1-10,140901.0,2,2,140901.0
10,Japan,Bachelors,"C++, Swift","ASP.NET, React",11-50,79402.0,2,2,79402.0
35,USA,Masters,"Go, PHP","ASP.NET, Spring",5000+,190615.0,2,2,190615.0
20,Japan,Some College,"Python, Rust","Express, Vue",1-10,117792.0,2,2,117792.0
12,Japan,Bachelors,"Java, JavaScript",Unknown,1-10,76447.0,2,1,76447.0
28,USA,Some College,Python,Ruby on Rails,5000+,184607.0,1,1,184607.0
32,USA,Masters,"C#, PHP",Unknown,5000+,191712.0,2,1,191712.0
26,UK,Masters,"Java, Swift","ASP.NET, Flask",201-1000,266164.0,2,2,1231792.0
33,India,Some College,"JavaScript, Ruby","React, Vue",5000+,121264.0,2,2,121264.0
6,Canada,Masters,Unknown,"React, Ruby on Rails",1-10,97059.0,1,2,97059.0
10,USA,Bachelors,"Java, PHP","Flask, Spring",201-1000,124422.0,2,2,124422.0
31,Canada,Unknown,"Java, Ruby","Django, React",201-1000,168133.0,2,2,168133.0
30,USA,Masters,"C#, JavaScript","Express, Spring",1-10,192380.0,2,2,192380.0
20,USA,Masters,"Go, PHP","Django, React",51-200,122107.0,2,2,122107.0
9,Japan,Masters,"C#, Swift","ASP.NET, Vue",201-1000,100242.0,2,2,100242.0
1,USA,PhD,"Java, Swift","Django, Laravel",5000+,117704.0,2,2,117704.0
38,USA,Masters,C#,"Express, Laravel",1-10,172117.0,1,2,172117.0
5,USA,PhD,"C++, Java","Express, React",1-10,121231.0,2,2,121231.0
4,USA,Bachelors,"Go, Rust","ASP.NET, Express",51-200,84853.0,2,2,84853.0
33,Canada,Bachelors,"JavaScript, PHP","Django, React",1-10,157299.0,2,2,157299.0
33,India,Bachelors,"C#, Java","ASP.NET, React",1001-5000,118442.0,2,2,118442.0
26,India,Masters,Unknown,"ASP.NET, React",201-1000,98481.0,1,2,98481.0
28,India,PhD,"Python, Ruby","Django, Express",51-200,110374.0,2,2,110374.0
33,UK,Bachelors,"Java, JavaScript","Ruby on Rails, Vue",11-50,168114.0,2,2,168114.0
11,Canada,Bachelors,Unknown,Unknown,201-1000,76920.0,1,1,76920.0
20,France,Bachelors,"Java, Swift","React, Ruby on Rails",5000+,208809.0,2,2,208809.0
10,USA,Bachelors,"Rust, Swift","Django, Ruby on Rails",5000+,122061.0,2,2,122061.0
9,USA,Masters,Java,"React, Ruby on Rails",1001-5000,125439.0,1,2,125439.0
12,Japan,High School,Unknown,"ASP.NET, Flask",5000+,105592.0,1,2,105592.0
7,India,Some College,"Go, PHP","React, Spring",1001-5000,38913.0,2,2,38913.0
20,Japan,Some College,"C++, Java","Flask, React",51-200,85921.0,2,2,85921.0
39,USA,Bachelors,"C#, C++","Flask, React",11-50,200238.0,2,2,200238.0
0,USA,Bachelors,"Python, Swift","Django, Laravel",5000+,90467.0,2,2,90467.0
5,USA,PhD,"Java, Rust","React, Vue",1001-5000,107223.0,2,2,107223.0
13,Canada,Masters,"Go, Rust","ASP.NET, Vue",201-1000,121196.0,2,2,121196.0
20,Germany,High School,Python,"Django, React",201-1000,101743.0,1,2,101743.0
19,France,Bachelors,"C#, PHP","Express, Flask",51-200,110516.0,2,2,110516.0
39,Australia,Bachelors,"Go, Swift","Flask, React",1001-5000,171021.0,2,2,171021.0
36,Singapore,Bachelors,"Go, Swift","Flask, Ruby on Rails",1001-5000,166378.0,2,2,166378.0
15,India,Bachelors,"Ruby, Swift","Angular, ASP.NET",11-50,63626.0,2,2,63626.0
34,UK,Unknown,Go,"React, Spring",1001-5000,152351.0,1,2,152351.0
6,India,Bachelors,"C#, Ruby","Flask, React",11-50,33908.0,2,2,33908.0
20,USA,Bachelors,"Rust, Swift","Django, React",201-1000,182374.0,2,2,182374.0
30,USA,Unknown,"JavaScript, Rust","Flask, Laravel",5000+,183066.0,2,2,183066.0
20,UK,Masters,"Java, Python",Vue,5000+,118379.0,2,1,118379.0
27,USA,Masters,Go,"Django, Spring",51-200,146762.0,1,2,146762.0
6,Canada,Bachelors,"C#, Java","Django, Ruby on Rails",11-50,76899.0,2,2,76899.0
18,Germany,Bachelors,"Go, JavaScript","ASP.NET, Vue",51-200,93524.0,2,2,93524.0
19,UK,Masters,"Java, JavaScript","Angular, Flask",201-1000,127169.0,2,2,127169.0
7,USA,Bachelors,"JavaScript, Python","Express, React",1-10,97406.0,2,2,97406.0
21,USA,Some College,Python,"Express, Ruby on Rails",201-1000,135168.0,1,2,135168.0
39,Germany,Unknown,"Java, JavaScript","Laravel, Vue",11-50,187103.0,2,2,187103.0
14,USA,Masters,"Go, Rust","Ruby on Rails, Vue",1001-5000,162455.0,2,2,162455.0
27,India,Bachelors,"C++, Rust","Angular, Vue",1-10,95587.0,2,2,95587.0
34,France,Masters,"C#, C++","Angular, Ruby on Rails",201-1000,266164.0,2,2,1240524.0
39,India,Bachelors,Java,Unknown,1-10,156502.0,1,1,156502.0
23,Germany,Bachelors,"C++, PHP","Laravel, Spring",201-1000,139207.0,2,2,139207.0
31,USA,Bachelors,"Go, Swift","Express, Ruby on Rails",11-50,196379.0,2,2,196379.0
2,USA,Bachelors,"C#, C++","Flask, Ruby on Rails",201-1000,102889.0,2,2,102889.0
20,Germany,Bachelors,"Go, Python","Angular, Express",1001-5000,119241.0,2,2,119241.0
0,India,High School,"JavaScript, Ruby",Angular,1-10,12809.0,2,1,12809.0
26,USA,High School,Unknown,Django,1001-5000,180530.0,1,1,180530.0
33,Germany,Bachelors,"JavaScript, Rust","Django, Spring",51-200,176855.0,2,2,176855.0
18,Brazil,Masters,"Go, Swift",Unknown,5000+,128312.0,2,1,128312.0
16,USA,Some College,Unknown,"Express, Spring",11-50,134559.0,1,2,134559.0
18,USA,Bachelors,"JavaScript, Python","Express, Laravel",51-200,156090.0,2,2,156090.0
33,USA,Bachelors,"C#, Go","Spring, Vue",5000+,171529.0,2,2,171529.0
35,Japan,Bachelors,C++,Ruby on Rails,201-1000,164125.0,1,1,164125.0
34,Japan,High School,"C#, Ruby",Spring,201-1000,134551.0,2,1,134551.0
28,USA,Masters,"C#, Go","Angular, Ruby on Rails",1001-5000,218014.0,2,2,218014.0
26,USA,Unknown,"JavaScript, PHP",Unknown,1-10,196420.0,2,1,196420.0
18,USA,Masters,"Python, Swift","Express, Laravel",1001-5000,142668.0,2,2,142668.0
38,USA,Bachelors,"JavaScript, Python","Angular, Laravel",201-1000,266164.0,2,2,1133030.0
32,USA,Bachelors,"Python, Ruby","Express, Spring",1001-5000,159993.0,2,2,159993.0
25,USA,Unknown,C++,"Django, Ruby on Rails",201-1000,174690.0,1,2,174690.0
20,USA,Bachelors,"Java, JavaScript","Flask, Vue",201-1000,145889.0,2,2,145889.0
9,USA,Bachelors,"C++, PHP",Unknown,11-50,135106.0,2,1,135106.0
4,USA,PhD,"Java, JavaScript","Laravel, Vue",5000+,110467.0,2,2,110467.0
8,Canada,Masters,Ruby,"ASP.NET, Vue",1-10,82879.0,1,2,82879.0
31,UK,Bachelors,"C#, Ruby",Unknown,11-50,154180.0,2,1,154180.0
13,USA,PhD,"Java, Ruby","Express, Flask",1001-5000,172709.0,2,2,172709.0
10,Canada,Bachelors,"Java, PHP","ASP.NET, Vue",1-10,96209.0,2,2,96209.0
40,USA,Bachelors,"C#, Go","Express, Laravel",5000+,221100.0,2,2,221100.0
26,Australia,Bachelors,"JavaScript, Ruby","ASP.NET, Django",51-200,141757.0,2,2,141757.0
10,Australia,Bachelors,"C++, Go","React, Vue",5000+,83950.0,2,2,83950.0
2,USA,Bachelors,"Go, Swift","Angular, Laravel",51-200,97399.0,2,2,97399.0
31,USA,Bachelors,"Rust, Swift","Ruby on Rails, Spring",5000+,206292.0,2,2,206292.0
19,USA,Bachelors,"Java, Ruby","Django, Spring",1-10,123344.0,2,2,123344.0
30,India,Masters,"C++, JavaScript","Express, Laravel",51-200,120481.0,2,2,120481.0
30,UK,Bachelors,"Python, Rust","Express, Ruby on Rails",51-200,177384.0,2,2,177384.0
15,USA,Masters,"C++, PHP","React, Ruby on Rails",201-1000,127255.0,2,2,127255.0
20,USA,Bachelors,"C++, JavaScript","Angular, Express",1-10,146898.0,2,2,146898.0
2,India,Bachelors,Go,"ASP.NET, Flask",201-1000,20041.0,1,2,20041.0
33,USA,PhD,Go,"ASP.NET, Express",51-200,217480.0,1,2,217480.0
2,USA,Bachelors,Swift,"Flask, Vue",201-1000,92293.0,1,2,92293.0
20,USA,Bachelors,"Java, PHP","Django, React",201-1000,79766.0,2,2,79766.0
0,USA,Unknown,"JavaScript, PHP","Laravel, Ruby on Rails",11-50,109913.0,2,2,109913.0
20,USA,Masters,"C++, Java","Laravel, Spring",201-1000,136757.0,2,2,136757.0
15,France,Bachelors,"JavaScript, Swift","Express, Spring",5000+,125663.0,2,2,125663.0
2,Germany,Masters,"C#, Swift","Angular, ASP.NET",51-200,89773.0,2,2,89773.0
14,Germany,Bachelors,"Java, Swift","Ruby on Rails, Vue",1001-5000,91248.0,2,2,91248.0
35,USA,Unknown,"C++, Swift","Laravel, Spring",11-50,180306.0,2,2,180306.0
28,UK,Bachelors,"JavaScript, Python","Angular, ASP.NET",11-50,131775.0,2,2,131775.0
9,USA,Masters,"Python, Ruby","Flask, Spring",51-200,118444.0,2,2,118444.0
19,USA,Masters,"Go, Rust","Laravel, Ruby on Rails",5000+,144056.0,2,2,144056.0
26,USA,Masters,"C#, PHP","Laravel, Spring",1-10,212115.0,2,2,212115.0
28,USA,Bachelors,"Ruby, Swift","React, Spring",5000+,161942.0,2,2,161942.0
29,USA,Masters,"C++, PHP","ASP.NET, Ruby on Rails",11-50,163895.0,2,2,163895.0
14,Canada,Bachelors,"C++, Ruby","Laravel, Vue",1001-5000,83331.0,2,2,83331.0
39,UK,Unknown,"Go, Swift","Django, Ruby on Rails",201-1000,152282.0,2,2,152282.0
3,UK,Bachelors,"PHP, Ruby","Flask, Vue",201-1000,81274.0,2,2,81274.0
23,USA,Bachelors,Unknown,"Angular, React",1001-5000,137700.0,1,2,137700.0
20,India,Bachelors,"C#, Ruby","ASP.NET, Vue",11-50,24295.0,2,2,24295.0
22,Canada,High School,Unknown,"Django, React",11-50,114127.0,1,2,114127.0
9,France,Bachelors,"C#, Python","ASP.NET, Spring",201-1000,85764.0,2,2,85764.0
19,USA,Bachelors,"Ruby, Swift","Express, Flask",1001-5000,144376.0,2,2,144376.0
37,UK,Bachelors,Go,"ASP.NET, Ruby on Rails",11-50,140298.0,1,2,140298.0
22,USA,Bachelors,"JavaScript, PHP","Angular, React",11-50,156888.0,2,2,156888.0
20,USA,Bachelors,"Java, Swift",React,1001-5000,110496.0,2,1,110496.0
32,UK,Some College,"C++, PHP","Laravel, Spring",201-1000,152377.0,2,2,152377.0
7,UK,Bachelors,"JavaScript, PHP","Express, React",1-10,94499.0,2,2,94499.0
